,date,store,product_c,sales
241769,2018-02-01,S023,1880109251922,4.0
241770,2018-02-02,S023,1880109251922,5.0
241771,2018-02-03,S023,1880109251922,2.0
241772,2018-02-04,S023,1880109251922,8.0
241773,2018-02-05,S023,1880109251922,13.0
241774,2018-02-06,S023,1880109251922,3.0
241775,2018-02-07,S023,1880109251922,65.0
241776,2018-02-09,S023,1880109251922,2.0
241777,2018-02-10,S023,1880109251922,1.0
241778,2018-02-11,S023,1880109251922,6.0
241779,2018-02-15,S023,1880109251922,44.0
241780,2018-02-16,S023,1880109251922,3.0
241781,2018-02-17,S023,1880109251922,6.0
241782,2018-02-18,S023,1880109251922,5.0
241783,2018-02-19,S023,1880109251922,2.0
241784,2018-02-20,S023,1880109251922,3.0
241785,2018-02-21,S023,1880109251922,5.0
241786,2018-02-23,S023,1880109251922,2.0
241787,2018-02-24,S023,1880109251922,3.0
241788,2018-02-25,S023,1880109251922,6.0
241789,2018-02-26,S023,1880109251922,54.0
241790,2018-02-27,S023,1880109251922,5.0
241791,2018-02-28,S023,1880109251922,15.0
241792,2018-03-01,S023,1880109251922,21.0
241793,2018-03-02,S023,1880109251922,8.0
241794,2018-03-03,S023,1880109251922,4.0
241795,2018-03-04,S023,1880109251922,4.0
241796,2018-03-05,S023,1880109251922,0.0
241797,2018-03-06,S023,1880109251922,188.0
241798,2018-03-07,S023,1880109251922,19.0
241799,2018-03-08,S023,1880109251922,7.0
241800,2018-03-09,S023,1880109251922,1.0
241801,2018-03-10,S023,1880109251922,3.0
241802,2018-03-11,S023,1880109251922,2.0
241803,2018-03-12,S023,1880109251922,4.0
241804,2018-03-14,S023,1880109251922,3.0
241805,2018-03-15,S023,1880109251922,6.0
241806,2018-03-16,S023,1880109251922,2.0
241807,2018-03-19,S023,1880109251922,6.0
241808,2018-03-20,S023,1880109251922,2.0
241809,2018-03-21,S023,1880109251922,4.0
241810,2018-03-22,S023,1880109251922,4.0
241811,2018-03-23,S023,1880109251922,2.0
241812,2018-03-24,S023,1880109251922,5.0
241813,2018-03-25,S023,1880109251922,4.0
241814,2018-03-26,S023,1880109251922,3.0
241815,2018-03-28,S023,1880109251922,4.0
241816,2018-03-29,S023,1880109251922,2.0
241817,2018-03-30,S023,1880109251922,7.0
241818,2018-03-31,S023,1880109251922,13.0
241819,2018-04-01,S023,1880109251922,17.0
241820,2018-04-02,S023,1880109251922,16.0
241821,2018-04-03,S023,1880109251922,5.0
241822,2018-04-04,S023,1880109251922,420.0
241823,2018-04-05,S023,1880109251922,1.0
241824,2018-04-06,S023,1880109251922,5.0
241825,2018-04-07,S023,1880109251922,8.0
241826,2018-04-08,S023,1880109251922,1.0
241827,2018-04-09,S023,1880109251922,2.0
241828,2018-04-10,S023,1880109251922,2.0
241829,2018-04-11,S023,1880109251922,4.0
241830,2018-04-12,S023,1880109251922,5.0
241831,2018-04-13,S023,1880109251922,3.0
241832,2018-04-14,S023,1880109251922,1.0
241833,2018-04-15,S023,1880109251922,3.0
241834,2018-04-16,S023,1880109251922,8.0
241835,2018-04-17,S023,1880109251922,2.0
241836,2018-04-18,S023,1880109251922,14.0
241837,2018-04-19,S023,1880109251922,7.0
241838,2018-04-20,S023,1880109251922,8.0
241839,2018-04-21,S023,1880109251922,2.0
241840,2018-04-22,S023,1880109251922,5.0
241841,2018-04-23,S023,1880109251922,5.0
241842,2018-04-24,S023,1880109251922,3.0
241843,2018-04-25,S023,1880109251922,6.0
241844,2018-04-26,S023,1880109251922,9.0
241845,2018-04-27,S023,1880109251922,7.0
241846,2018-04-28,S023,1880109251922,3.0
241847,2018-04-29,S023,1880109251922,6.0
241848,2018-04-30,S023,1880109251922,2.0
241849,2018-05-01,S023,1880109251922,5.0
241850,2018-05-02,S023,1880109251922,5.0
241851,2018-05-03,S023,1880109251922,5.0
241852,2018-05-04,S023,1880109251922,2.0
241853,2018-05-05,S023,1880109251922,4.0
241854,2018-05-06,S023,1880109251922,2.0
241855,2018-05-07,S023,1880109251922,10.0
241856,2018-05-08,S023,1880109251922,3.0
241857,2018-05-09,S023,1880109251922,7.0
241858,2018-05-10,S023,1880109251922,3.0
241859,2018-05-11,S023,1880109251922,1.0
241860,2018-05-12,S023,1880109251922,4.0
241861,2018-05-13,S023,1880109251922,3.0
241862,2018-05-14,S023,1880109251922,4.0
241863,2018-05-15,S023,1880109251922,5.0
241864,2018-05-16,S023,1880109251922,5.0
241865,2018-05-17,S023,1880109251922,1.0
241866,2018-05-18,S023,1880109251922,4.0
241867,2018-05-20,S023,1880109251922,3.0
241868,2018-05-21,S023,1880109251922,9.0
241869,2018-05-22,S023,1880109251922,7.0
241870,2018-05-23,S023,1880109251922,3.0
241871,2018-05-24,S023,1880109251922,3.0
241872,2018-05-25,S023,1880109251922,17.0
241873,2018-05-26,S023,1880109251922,4.0
241874,2018-05-27,S023,1880109251922,4.0
241875,2018-05-28,S023,1880109251922,2.0
241876,2018-05-29,S023,1880109251922,6.0
241877,2018-05-30,S023,1880109251922,182.0
241878,2018-05-31,S023,1880109251922,247.0
241879,2018-06-01,S023,1880109251922,926.0
241880,2018-06-02,S023,1880109251922,412.0
241881,2018-06-03,S023,1880109251922,1.0
241882,2018-06-04,S023,1880109251922,0.0
241883,2018-06-05,S023,1880109251922,199.0
241884,2018-06-06,S023,1880109251922,1.0
241885,2018-06-09,S023,1880109251922,6.0
241886,2018-06-10,S023,1880109251922,9.0
241887,2018-06-11,S023,1880109251922,7.0
241888,2018-06-12,S023,1880109251922,6.0
241889,2018-06-13,S023,1880109251922,5.0
241890,2018-06-14,S023,1880109251922,3.0
241891,2018-06-15,S023,1880109251922,2.0
241892,2018-06-16,S023,1880109251922,9.0
241893,2018-06-17,S023,1880109251922,4.0
241894,2018-06-18,S023,1880109251922,10.0
241895,2018-06-19,S023,1880109251922,8.0
241896,2018-06-20,S023,1880109251922,6.0
241897,2018-06-21,S023,1880109251922,2.0
241898,2018-06-22,S023,1880109251922,4.0
241899,2018-06-23,S023,1880109251922,6.0
241900,2018-06-24,S023,1880109251922,7.0
241901,2018-06-25,S023,1880109251922,8.0
241902,2018-06-26,S023,1880109251922,407.0
241903,2018-06-27,S023,1880109251922,29.0
241904,2018-06-28,S023,1880109251922,7.0
241905,2018-06-29,S023,1880109251922,18.0
241906,2018-06-30,S023,1880109251922,7.0
241907,2018-07-01,S023,1880109251922,19.0
241908,2018-07-02,S023,1880109251922,40.0
241909,2018-07-03,S023,1880109251922,48.0
241910,2018-07-04,S023,1880109251922,35.0
241911,2018-07-05,S023,1880109251922,37.0
241912,2018-07-06,S023,1880109251922,22.0
241913,2018-07-07,S023,1880109251922,18.0
241914,2018-07-08,S023,1880109251922,13.0
241915,2018-07-09,S023,1880109251922,24.0
241916,2018-07-10,S023,1880109251922,14.0
241917,2018-07-11,S023,1880109251922,19.0
241918,2018-07-12,S023,1880109251922,11.0
241919,2018-07-13,S023,1880109251922,2.0
241920,2018-07-14,S023,1880109251922,9.0
241921,2018-07-15,S023,1880109251922,14.0
241922,2018-07-16,S023,1880109251922,9.0
241923,2018-07-17,S023,1880109251922,8.0
241924,2018-07-18,S023,1880109251922,10.0
241925,2018-07-19,S023,1880109251922,1.0
241926,2018-07-20,S023,1880109251922,11.0
241927,2018-07-21,S023,1880109251922,5.0
241928,2018-07-22,S023,1880109251922,6.0
241929,2018-07-23,S023,1880109251922,11.0
241930,2018-07-24,S023,1880109251922,15.0
241931,2018-07-25,S023,1880109251922,15.0
241932,2018-07-26,S023,1880109251922,20.0
241933,2018-07-27,S023,1880109251922,20.0
241934,2018-07-28,S023,1880109251922,9.0
241935,2018-07-29,S023,1880109251922,20.0
241936,2018-07-30,S023,1880109251922,4.0
241937,2018-07-31,S023,1880109251922,8.0
241938,2018-08-01,S023,1880109251922,24.0
241939,2018-08-02,S023,1880109251922,14.0
241940,2018-08-03,S023,1880109251922,7.0
241941,2018-08-04,S023,1880109251922,3.0
241942,2018-08-05,S023,1880109251922,11.0
241943,2018-08-06,S023,1880109251922,18.0
241944,2018-08-07,S023,1880109251922,257.0
241945,2018-08-08,S023,1880109251922,5.0
241946,2018-08-09,S023,1880109251922,8.0
241947,2018-08-10,S023,1880109251922,5.0
241948,2018-08-11,S023,1880109251922,6.0
